County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
San Francisco County,California,06075,45277,126630,108968,81.6,870044,822688,47356,822688,406538,45402,2746,151,4,133,54,297667,19021,185222,38123,9996,10530,15183,19592,2911,444,510,1342,615,67424,47356,6111,3715,21853,676,870044,447002,55913,9478,326719,6823,75279,870044,132651,67949,4870,2423,57409,737393,353670,43619,1363,294846,2694,4163,37038,1510,35528,393975,646545,327752,318793,870044,443970,426074,104.2,39519,31072,29588,30492,49822,202928,137296,115998,51067,50824,71250,38978,21210,38.2,116897,764514,753147,732670,161618,131438,753147,384068,369079,104.1,131438,59057,72381
San Joaquin County,California,06077,53185,184302,132852,78.8,732212,657526,74686,657526,411958,52023,4725,409,14,102,48,112997,20268,9329,38028,2297,1534,7124,34417,4463,578,842,851,2192,71360,74686,6825,33808,11892,1160,732212,477603,65870,45605,134457,9471,81567,732212,301256,270790,4890,829,24747,430956,237887,49926,1536,110164,3959,1069,26415,1335,25080,241055,448973,219362,229611,732212,364612,367600,99.2,52723,57384,56988,55240,51640,101222,94351,92011,42250,38942,52720,25773,10968,34.1,201506,553741,530706,499571,111323,89461,530706,261359,269347,97,89461,39437,50024
San Luis Obispo County,California,06079,20106,62896,34346,85.9,281455,271316,10139,271316,242078,5265,1900,131,58,27,35,10234,871,2455,3040,1075,796,639,1358,258,30,54,106,68,11581,10139,1120,2126,3697,339,281455,251145,7130,4893,14609,1050,13362,281455,63002,53377,1216,415,7994,218453,194574,4912,1363,9924,258,244,7178,223,6955,121095,217017,109511,107506,281455,142769,138686,102.9,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412,39.1,50492,236821,230963,209084,64590,52758,230963,116976,113987,102.6,52758,24372,28386
San Mateo County,California,06081,47900,136387,92658,77.0,765935,723210,42725,723210,391024,17849,2922,61,8,193,4,215337,21164,87436,73424,9206,7038,4106,12963,10504,1023,655,1270,7556,85574,42725,4024,2708,19319,511,765935,426161,25828,8350,242896,15466,94697,765935,189002,115053,4089,1809,68051,576933,303047,16838,1151,212474,10272,2476,30675,1633,29042,276444,498138,241337,256801,765935,377851,388084,97.4,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686,39.6,161248,622386,604687,582522,144979,117867,604687,295285,309402,95.4,117867,51286,66581
Santa Barbara County,California,06083,26010,78832,45558,81.0,443738,423742,19996,423742,344026,8626,4389,155,59,19,30,23863,1668,6769,7410,2117,1918,1881,2100,814,210,82,41,481,42024,19996,2428,4520,5792,146,443738,361532,12730,10151,31854,2558,46560,443738,200060,183557,1593,525,14385,243678,199356,7881,1407,22996,482,604,10952,192,10760,156210,281699,139122,142577,443738,222208,221530,100.3,28356,27457,27240,37445,49425,58974,50124,49960,25886,24096,35041,19841,9893,33.7,99117,355380,344621,310990,78250,64775,344621,171737,172884,99.3,64775,28994,35781
Santa Clara County,California,06085,124080,290513,230674,79.8,1922200,1825535,96665,1825535,865460,48058,9303,339,43,229,163,689176,175335,193928,91408,27491,28994,132669,39351,7541,902,1973,2523,2143,205997,96665,9206,10238,41865,991,1922200,945364,64178,26064,747494,16383,227321,1922200,495455,415406,9891,2744,67414,1426745,615912,45379,3003,685265,6231,4743,66212,3738,62474,665365,1170247,581418,588829,1922200,970469,951731,102,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780,37,432684,1537154,1489516,1422788,303796,246908,1489516,748873,740643,101.1,246908,109620,137288
Santa Cruz County,California,06087,12929,40298,23037,85.1,273765,260910,12855,260910,208476,2596,1375,117,21,41,3,12601,1423,4106,2419,1706,702,819,1426,316,192,28,84,12,35546,12855,1680,2691,3679,88,273765,220395,5121,5262,17659,1605,38216,273765,91676,81122,908,226,9420,182089,157540,2359,360,12116,168,554,8992,141,8851,105894,190834,93080,97754,273765,135727,138038,98.3,14535,14511,15516,22731,27607,33557,31870,34702,19532,18203,25867,10581,4553,37.4,53761,226263,220004,198701,51784,41001,220004,108212,111792,96.8,41001,18849,22152
Shasta County,California,06089,16955,36442,23358,85.0,179085,171786,7299,171786,155840,2209,4704,283,53,25,74,5427,956,849,674,301,199,513,1935,191,36,95,27,33,3415,7299,921,3137,1207,101,179085,162531,3576,8317,7169,846,4356,179085,17605,13316,610,154,3525,161480,143575,2140,4014,5326,182,151,6092,229,5863,78535,136013,65902,70111,179085,87859,91226,96.3,10520,10893,10500,10808,10213,22779,19093,22249,12939,13470,20852,10598,4171,41.8,38673,144873,140412,134492,43925,35621,140412,68095,72317,94.2,35621,16368,19253
Sierra County,California,06091,175,475,647,106.0,2930,2921,9,2921,2890,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,1,2930,2898,7,34,0,0,0,2930,324,264,1,0,59,2606,2567,6,25,0,0,0,8,0,8,2395,2450,1237,1213,2930,1542,1388,111.1,112,111,153,141,83,187,380,254,482,174,516,281,56,55.5,441,2540,2489,2413,987,853,2489,1276,1213,105.2,853,439,414
Siskiyou County,California,06093,3449,11747,8543,94.6,43540,40618,2922,40618,36971,632,1469,92,0,0,1,678,14,71,112,58,2,4,417,149,37,0,1,111,719,2922,298,1726,282,34,43540,39808,1083,3443,1122,257,996,43540,5336,4463,115,50,708,38204,33390,619,1283,671,120,33,2088,26,2062,24102,33787,16588,17199,43540,21706,21834,99.4,2257,2695,2309,2459,2028,4439,4286,5085,3768,3751,6451,2829,1183,48,8797,35851,34743,33261,12710,10463,34743,17196,17547,98,10463,5087,5376
Solano County,California,06095,31346,97729,75001,79.8,438530,406967,31563,406967,231149,61826,2114,185,70,133,76,67813,5174,5761,45107,2024,1649,2953,5145,4113,374,1454,874,1411,39952,31563,6273,3650,8403,741,438530,256550,73775,8595,82883,7642,44838,438530,114406,88500,5309,1164,19433,324124,168870,59500,1258,65994,3928,1288,23286,656,22630,156896,306066,151132,154934,438530,217931,220599,98.8,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,37.9,98813,351136,339717,323912,81179,64390,339717,167429,172288,97.2,64390,28580,35810
Sonoma County,California,06097,32287,93470,61529,79.1,501317,473478,27839,473478,375519,7960,4854,189,109,75,86,20087,2381,4160,3728,1773,1489,1983,4573,1636,279,240,450,667,63422,27839,3622,7498,5976,140,501317,400073,13050,14799,29188,4520,70162,501317,132985,114035,1877,406,16667,368332,318237,7192,2068,19720,1406,2501,17208,515,16693,207631,356021,170548,185473,501317,245196,256121,95.7,25736,28607,28944,29922,30140,65417,61766,66429,35686,37573,55520,23956,11621,41.7,100818,412126,400499,381848,112939,91097,400499,193717,206782,93.7,91097,40234,50863
Stanislaus County,California,06099,39149,120659,89027,78.6,539301,516694,22607,516694,408817,15534,4261,607,36,180,358,29248,8503,3031,6911,1039,625,1768,7371,3973,493,295,513,2672,54861,22607,3223,4027,5542,158,539301,428217,20249,10179,37875,6187,61309,539301,245973,226946,3334,239,15454,293328,229796,14338,2600,28599,3711,908,13376,607,12769,181213,335017,162425,172592,539301,266844,272457,97.9,39410,41234,41604,39283,37852,77347,67919,66531,33381,26970,39540,19925,8305,34,146907,408846,392394,369979,83067,67770,392394,191900,200494,95.7,67770,29831,37939
Sutter County,California,06101,9006,20508,20317,82.2,95872,89333,6539,89333,66752,2006,936,95,32,17,2,14635,10814,498,815,227,127,362,1792,569,188,239,64,78,4435,6539,1071,1834,1454,80,95872,72331,3455,3341,17202,1341,5533,95872,29354,26868,432,87,1967,66518,44769,1793,676,14532,367,211,4170,210,3960,34315,60877,29824,31053,95872,47789,48083,99.4,6614,7219,7031,6583,6204,13284,11641,11722,5701,5645,7826,4618,1784,35.7,25116,73619,70756,67389,17264,14228,70756,34767,35989,96.6,14228,6419,7809
Tehama County,California,06103,5267,16326,13187,89.6,63373,60833,2540,60833,54119,471,1621,90,6,19,0,964,186,92,195,41,216,50,184,19,14,0,3,2,3639,2540,339,1341,116,0,63373,56594,961,3055,1278,66,4147,63373,15623,14477,65,13,1068,47750,43539,420,1013,964,17,24,1773,39,1734,27437,45222,22245,22977,63373,31504,31869,98.9,3867,4283,4463,3872,3554,7538,7003,8006,4489,4333,7013,3481,1471,40.9,15178,50022,48195,46006,14831,11965,48195,23789,24406,97.5,11965,5653,6312
Trinity County,California,06105,1004,2995,2230,105.5,12862,12542,320,12542,11136,87,577,94,24,0,9,207,0,41,6,0,15,28,117,158,16,18,122,2,377,320,43,210,11,0,12862,11439,143,803,247,193,392,12862,930,735,8,18,169,11932,10607,87,574,179,158,27,300,1,299,8850,10354,5318,5036,12862,6582,6280,104.8,571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267,51.8,2172,11015,10690,10266,4305,3389,10690,5448,5242,103.9,3389,1740,1649
Tulare County,California,06107,33514,113894,80388,82.6,460477,444956,15521,444956,352259,7326,5469,342,4,168,91,16462,1583,1296,7490,694,590,480,4329,697,118,195,47,337,62743,15521,1619,3428,2216,193,460477,365121,10576,10255,21298,1825,68691,460477,295149,285056,1083,580,8430,165328,133617,5870,2769,14800,584,877,6811,262,6549,147791,252873,122193,130680,460477,230255,230222,100,38504,40849,40772,37292,33987,64943,57243,51482,23979,21035,29507,14406,6478,30.8,143528,332597,316949,295435,62278,50391,316949,156935,160014,98.1,50391,22799,27592
Tuolumne County,California,06109,3509,13084,9807,92.2,53932,51427,2505,51427,47189,926,997,148,2,23,3,749,51,157,355,33,78,4,71,134,54,18,24,38,1432,2505,362,1023,241,16,53932,49414,1421,2384,1163,251,2111,53932,6527,4795,113,69,1550,47405,43364,880,747,732,125,40,1517,28,1489,31487,44139,23021,21118,53932,28102,25830,108.8,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753,48.4,9013,46031,44919,43339,16675,13351,44919,23480,21439,109.5,13351,6403,6948
Ventura County,California,06111,55045,127782,114228,80.9,848112,810551,37561,810551,680197,14835,7069,433,74,216,87,61772,13656,10672,19780,4324,3961,4517,4862,1771,381,370,610,410,44907,37561,5514,7914,11893,219,848112,714246,22792,17402,77704,4307,52344,848112,360017,322089,3409,1493,33026,488095,388301,13677,2299,60242,1406,1016,21154,540,20614,287498,557877,271311,286566,848112,419588,428524,97.9,51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266,37.9,199599,672054,648513,613478,151718,123435,648513,318358,330155,96.4,123435,55196,68239
Yolo County,California,06113,12393,38797,23334,80.3,214977,201229,13748,201229,145778,5834,1247,194,33,51,20,29612,4818,11101,3264,1721,2314,1872,4522,984,111,46,105,722,17774,13748,1464,2940,5248,160,214977,158380,7856,4843,36350,2381,19932,214977,67809,57951,1349,353,8156,147168,101274,5215,533,29360,919,258,9609,333,9276,77512,144523,68588,75935,214977,104375,110602,94.4,12467,12618,13052,20389,30396,29455,24981,23778,11704,10696,14761,7050,3630,31,45919,174246,169058,148011,32011,25441,169058,81128,87930,92.3,25441,11330,14111
Yuba County,California,06115,6851,15811,17063,88.6,75493,69428,6065,69428,56344,2432,1079,114,17,9,23,5104,355,522,767,182,65,229,2984,343,60,50,89,144,4126,6065,1119,2493,833,58,75493,61663,4323,4037,6482,778,4800,75493,20990,18831,282,92,1785,54503,42085,2340,643,4977,292,126,4040,58,3982,28370,50178,25234,24944,75493,38468,37025,103.9,6126,5796,5815,4955,5600,11930,9193,8410,4592,4001,5647,2311,1117,32.5,20874,56589,54619,51771,11394,9075,54619,27538,27081,101.7,9075,4264,4811
Adams County,Colorado,08001,26368,101897,66302,80.7,497115,477681,19434,477681,410132,16494,6264,217,120,470,398,19268,1645,2376,1477,1136,745,3912,7977,598,100,126,308,64,24925,19434,4142,5777,3745,169,497115,427863,22281,13526,24349,1209,28757,497115,197279,162504,2202,1311,31262,299836,251342,15509,2348,18966,598,744,10329,442,9887,171038,314724,155958,158766,497115,250704,246411,101.7,36678,37972,39194,33195,31937,80780,72686,62677,29770,23045,30566,13592,5023,33.6,135444,375829,361671,344088,62804,49181,361671,181420,180251,100.6,49181,21964,27217
Alamosa County,Colorado,08003,866,3572,2397,87.7,16444,15908,536,15908,14297,191,526,0,0,288,17,178,24,67,1,12,12,21,41,65,8,0,0,57,651,536,96,193,78,0,16444,14787,329,758,303,65,779,16444,7542,4119,97,0,3326,8902,7940,134,319,145,57,58,249,51,198,6936,11700,5785,5915,16444,8242,8202,100.5,1158,1085,1116,1528,2031,2219,1802,1553,976,863,1255,700,158,30.4,3932,12928,12512,10967,2648,2113,12512,6225,6287,99,2113,987,1126
Arapahoe County,Colorado,08005,33839,108500,76608,79.0,636671,607705,28966,607705,455987,67821,4184,340,62,282,434,37326,8569,6314,2271,1683,6547,4486,7456,1426,260,443,210,513,40961,28966,7839,4012,6531,1257,636671,480455,80134,11049,46813,3131,46705,636671,121355,82009,4823,1346,33177,515316,386645,65578,2230,36803,1377,1702,20981,727,20254,248618,435277,211794,223483,636671,314672,321999,97.7,40510,43560,43635,39350,39423,98063,90675,84713,40842,37273,48846,20898,8883,36.5,153460,500149,483211,463126,100146,78627,483211,235997,247214,95.5,78627,34712,43915
Archuleta County,Colorado,08007,623,2574,1278,101.3,12908,12756,152,12756,10810,249,192,12,0,16,23,133,16,21,25,16,47,0,8,0,0,0,0,0,1372,152,21,50,16,0,12908,10924,284,272,179,21,1402,12908,2371,559,12,21,1779,10537,9890,214,164,133,0,23,113,5,108,9228,10362,5185,5177,12908,6546,6362,102.9,579,628,681,554,669,1267,1292,1517,1112,1441,2255,720,193,50.6,2209,10884,10699,10351,4113,3168,10699,5317,5382,98.8,3168,1594,1574
Baca County,Colorado,08009,375,846,775,78.5,3563,3492,71,3492,3377,35,57,12,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,19,71,7,57,0,0,3563,3448,42,114,0,4,26,3563,381,349,0,0,32,3182,3038,35,57,0,4,0,48,0,48,2254,2743,1331,1412,3563,1755,1808,97.1,187,219,213,170,162,372,377,387,274,279,439,330,154,47.7,739,2919,2824,2723,1095,923,2824,1384,1440,96.1,923,406,517
Bent County,Colorado,08011,601,1610,1154,106.4,5809,5732,77,5732,5315,230,72,0,0,3,0,34,11,0,12,0,2,0,9,0,0,0,0,0,81,77,13,25,10,0,5809,5392,243,97,44,0,110,5809,1858,1012,7,14,825,3951,3682,202,18,34,0,0,15,0,15,2258,4697,3186,1511,5809,3790,2019,187.7,209,240,286,233,302,1115,928,750,416,325,599,250,156,41,894,5013,4915,4817,1116,1005,4915,3362,1553,216.5,1005,518,487
Boulder County,Colorado,08013,13493,35284,21901,83.3,321030,311123,9907,311123,284719,2827,1715,63,15,85,263,14979,3246,5244,636,1177,1336,642,2698,185,88,36,17,44,6698,9907,1271,2315,3755,22,321030,294109,4764,4740,19473,656,8175,321030,44266,33484,1073,716,8993,276764,249803,2613,894,14919,169,637,7729,198,7531,134326,239847,119853,119994,321030,161355,159675,101.1,15070,17950,18615,25903,33642,44106,40611,42308,20314,20443,25906,11024,5138,36.2,62925,265772,258105,235797,54017,42068,258105,129160,128945,100.2,42068,19119,22949
Broomfield County,Colorado,08014,3527,9890,6144,75.7,66120,63708,2412,63708,57355,770,353,12,30,5,64,4324,1139,805,180,267,182,488,1263,0,0,0,0,0,906,2412,409,664,805,38,66120,59641,1285,1128,5208,95,1261,66120,8069,5543,388,204,1934,58051,50996,735,246,4317,0,244,1513,26,1487,27647,47748,23526,24222,66120,32789,33331,98.4,3734,4546,4613,3915,3854,9815,9865,9422,4659,3198,5238,2358,903,37.7,15692,52250,50428,48876,10369,8499,50428,24875,25553,97.3,8499,3662,4837
Chaffee County,Colorado,08015,1326,2667,2537,93.5,19164,18547,617,18547,17857,366,42,0,0,0,0,153,17,27,2,15,39,0,53,0,0,0,0,0,129,617,94,206,123,0,19164,18360,460,355,337,46,283,19164,1935,1067,18,0,850,17229,16276,366,42,126,0,32,387,33,354,10875,15900,8486,7414,19164,10268,8896,115.4,635,720,1149,870,684,2357,2223,2561,1473,1822,2892,1207,571,49.1,2979,16506,16185,15693,5736,4670,16185,8687,7498,115.9,4670,2257,2413
Cheyenne County,Colorado,08017,128,319,334,47.6,2039,1974,65,1974,1916,2,3,0,0,0,0,47,0,3,34,0,0,10,0,3,0,3,0,0,3,65,0,57,0,0,2039,1979,2,62,47,3,11,2039,347,329,3,0,15,1692,1579,2,0,47,3,0,61,6,55,931,1272,605,667,2039,964,1075,89.7,216,166,176,160,56,205,232,276,194,113,80,98,67,35.9,692,1423,1347,1304,328,245,1347,647,700,92.4,245,79,166
Clear Creek County,Colorado,08019,496,1684,1127,98.8,9379,9122,257,9122,8880,103,30,0,0,22,0,98,13,27,40,2,11,0,5,7,0,0,7,0,4,257,13,170,23,1,9379,9136,161,245,121,7,10,9379,618,471,13,34,100,8761,8367,103,8,98,7,0,178,0,178,5771,7646,3933,3713,9379,4816,4563,105.5,350,306,475,551,352,990,1176,1529,959,922,1291,424,54,47.8,1472,8144,7907,7654,2325,1769,7907,4107,3800,108.1,1769,879,890
Conejos County,Colorado,08021,587,1571,1310,96.3,8142,8008,134,8008,7349,36,207,14,0,10,0,10,0,0,10,0,0,0,0,16,0,16,0,0,390,134,15,51,1,0,8142,7449,68,282,17,16,449,8142,4315,1338,16,17,2944,3827,3584,36,107,10,16,23,51,0,51,4398,5804,2953,2851,8142,4082,4060,100.5,573,586,636,581,465,861,861,949,570,594,844,495,127,39.4,2210,6161,5932,5613,1852,1466,5932,2992,2940,101.8,1466,719,747
Costilla County,Colorado,08023,535,738,747,105.2,3687,3575,112,3575,3343,17,80,14,0,0,0,55,0,0,0,46,9,0,0,0,0,0,0,0,80,112,0,78,18,0,3687,3455,17,158,79,6,90,3687,2307,984,0,0,1323,1380,1217,17,17,55,0,0,74,0,74,2817,2813,1437,1376,3687,1941,1746,111.2,139,187,200,219,253,311,281,446,305,359,597,325,65,51.3,671,3119,3016,2899,1164,987,3016,1562,1454,107.4,987,506,481
Crowley County,Colorado,08025,390,1475,1366,100.0,5630,5382,248,5382,4978,206,85,0,0,7,0,19,0,0,1,12,0,0,6,0,0,0,0,0,94,248,40,45,37,5,5630,5176,253,174,94,36,180,5630,1747,1093,119,30,505,3883,3517,206,61,17,0,4,78,0,78,1584,4657,2903,1754,5630,3526,2104,167.6,174,206,221,549,606,1014,664,804,325,343,445,214,65,35.6,717,5005,4913,4306,875,724,4913,3150,1763,178.7,724,362,362
Custer County,Colorado,08027,463,858,814,103.7,4640,4532,108,4532,4333,119,44,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,108,6,58,9,0,4640,4408,127,104,42,33,36,4640,444,343,0,0,101,4196,3946,119,44,0,0,0,87,0,87,4464,3834,1896,1938,4640,2265,2375,95.4,101,240,309,242,156,287,264,365,474,517,1212,382,91,58.4,800,3919,3840,3731,1955,1685,3840,1899,1941,97.8,1685,858,827
Delta County,Colorado,08029,2610,5704,4382,90.3,30346,29979,367,29979,28768,291,329,113,61,57,0,310,0,88,94,25,6,0,97,0,0,0,0,0,281,367,67,203,51,0,30346,29116,368,532,370,6,321,30346,4595,3590,17,0,988,25751,24709,157,317,258,0,0,310,10,300,14763,23407,11661,11746,30346,15235,15111,100.8,1514,1551,1955,2028,1165,2849,3311,3411,2491,2572,4382,2121,996,47.6,6176,24876,24170,22988,8967,7499,24170,12085,12085,100,7499,3558,3941
Denver County,Colorado,08031,28235,95200,69747,76.7,693417,668699,24718,668699,530278,64881,6833,536,151,975,500,26143,3179,5615,1838,1395,2123,6845,5148,1033,207,248,44,534,39531,24718,5520,4723,5176,1270,693417,550725,74184,15235,33710,2389,44323,693417,209859,166609,4067,1588,37595,483558,372710,62617,3359,25698,835,1455,16884,516,16368,314045,490354,242660,247694,693417,347188,346229,100.3,43421,41479,35713,33090,43141,157592,109245,80443,36585,33957,47035,21374,10342,34.4,139801,565681,553616,532413,98725,78751,553616,276178,277438,99.5,78751,34187,44564
Dolores County,Colorado,08033,126,350,268,103.0,1841,1794,47,1794,1780,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,5,42,0,0,1841,1827,5,55,0,0,1,1841,108,95,13,0,0,1733,1674,0,12,0,0,0,47,0,47,1495,1470,769,701,1841,989,852,116.1,83,137,122,18,73,222,146,217,221,131,243,139,89,51.8,356,1493,1485,1481,535,471,1485,778,707,110,471,239,232
Douglas County,Colorado,08035,13322,48007,21343,87.0,328614,318581,10033,318581,293266,4460,1075,59,26,131,76,14700,6499,2869,1247,615,1162,1181,1127,257,113,64,10,70,4823,10033,1393,1727,4048,54,328614,302334,6580,3262,20065,1220,6193,328614,27998,17175,1520,662,8641,300616,271949,4116,625,14527,241,898,8260,431,7829,121541,229688,113110,116578,328614,163766,164848,99.3,19924,25077,27931,24422,16010,35399,50440,53692,22687,17231,23768,8862,3171,38.4,89484,249787,239130,228501,45834,35801,239130,117764,121366,97,35801,16651,19150
Eagle County,Colorado,08037,1810,6716,4844,108.0,54357,53373,984,53373,48258,525,155,77,0,0,0,424,15,198,49,11,69,11,71,43,43,0,0,0,3968,984,256,100,359,0,54357,49151,809,302,922,133,4147,54357,16140,13571,119,93,2357,38217,36501,474,132,424,43,4,639,46,593,32154,35052,18617,16435,54357,28804,25553,112.7,3145,3791,3199,3539,2641,9046,8620,8163,3662,3069,3906,1369,207,36.5,12118,43557,42239,40107,7246,5482,42239,22505,19734,114,5482,2846,2636
El Paso County,Colorado,08041,33485,117075,79485,80.6,688153,647538,40615,647538,547369,43282,4622,504,34,554,279,19250,2057,2579,4715,1161,4562,1601,2575,2722,670,643,762,647,30293,40615,10207,7660,8501,693,688153,583848,58951,15826,31792,5687,37921,688153,115664,72124,10975,2714,29851,572489,477996,40940,2241,18864,2442,1652,28354,769,27585,268622,498090,251471,246619,688153,347478,340675,102,46962,45990,47948,47875,57292,107587,86162,85001,43047,37045,51042,23216,8986,34.1,168985,537548,519168,488516,104114,83244,519168,261262,257906,101.3,83244,37150,46094
Elbert County,Colorado,08039,1307,4872,3330,102.8,25162,24340,822,24340,23476,122,222,22,0,41,0,243,35,87,26,86,0,0,9,10,0,10,0,0,267,822,307,177,144,0,25162,24271,444,436,420,16,418,25162,1693,812,109,108,664,23469,22374,115,134,196,0,14,636,10,626,9459,19403,9759,9644,25162,12721,12441,102.3,1086,1554,1691,1782,1243,2131,2694,4539,2456,2297,2609,731,349,46.1,5514,20263,19648,18753,4915,3689,19648,9858,9790,100.7,3689,1870,1819
Fremont County,Colorado,08043,3276,11772,8095,96.9,47002,45763,1239,45763,42213,1935,665,24,22,83,95,326,37,56,148,5,21,19,40,2,2,0,0,0,622,1239,196,243,227,67,47002,43198,2364,1095,595,17,1057,47002,6186,2823,162,23,3178,40816,37224,1888,550,320,2,21,811,40,771,19715,38546,22751,15795,47002,27324,19678,138.9,1862,2196,2159,2185,2226,6931,6013,6603,3847,3173,5807,2930,1070,44.9,7757,40157,39245,38389,11642,9807,39245,23392,15853,147.6,9807,4827,4980
Garfield County,Colorado,08045,2053,10468,7112,93.2,58538,57504,1034,57504,51120,234,404,189,0,46,24,542,143,47,28,25,20,0,279,9,0,9,0,0,5195,1034,223,359,98,0,58538,52135,665,928,664,12,5400,58538,16487,13609,207,160,2511,42051,40078,228,244,536,0,99,866,0,866,23875,37365,18772,18593,58538,29779,28759,103.5,4016,4990,3645,3759,3332,8077,8274,7714,3984,3713,4474,1849,711,36.3,15028,45135,43510,41651,9325,7034,43510,22119,21391,103.4,7034,3394,3640
Gilpin County,Colorado,08047,283,1073,738,127.0,5924,5821,103,5821,5566,15,171,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,103,24,68,0,0,5924,5669,39,239,0,11,69,5924,548,274,51,0,223,5376,5123,15,135,0,0,0,103,0,103,3673,4927,2584,2343,5924,3169,2755,115,246,255,271,254,198,591,1018,961,460,812,704,62,92,45.7,962,5065,4962,4834,1338,858,4962,2603,2359,110.3,858,480,378
Grand County,Colorado,08049,803,2242,1699,122.5,15066,14929,137,14929,14284,122,11,7,0,0,0,167,0,57,10,14,0,8,78,84,84,0,0,0,261,137,112,19,6,0,15066,14421,234,30,173,84,261,15066,1273,1091,36,0,146,13793,13198,122,7,167,84,78,137,0,137,16623,11871,6286,5585,15066,8129,6937,117.2,563,648,929,795,741,2200,1909,2098,1168,1592,1745,418,260,43.5,2647,12783,12419,12003,3156,2423,12419,6651,5768,115.3,2423,1334,1089
