State,Date_Adopted,year,uninsured_rate,population
South Carolina,NA,2019,0.108194,4832482
South Dakota,NA,2019,0.095699,853175
Tennessee,NA,2019,0.101912,6549352
Texas,NA,2019,0.184084,26956958
Utah,2020-01-01,2019,0.096299,2942902
Vermont,2014-01-01,2019,0.044488,626011
Virginia,2019-01-01,2019,0.080012,8326289
Washington,2014-01-01,2019,0.065851,7061530
West Virginia,2014-01-01,2019,0.065863,1850326
Wisconsin,NA,2019,0.057597,5757564
Wyoming,NA,2019,0.122662,584153
Alabama,NA,2020,0.097,4849377
Alaska,2015-09-01,2020,0.122,737732
Arizona,2014-01-01,2020,0.113,6731484
Arkansas,2014-01-01,2020,0.091,2994079
California,2014-01-01,2020,0.077,38802500
Colorado,2014-01-01,2020,0.08,5355856
Connecticut,2014-01-01,2020,0.059,3596677
Delaware,2014-01-01,2020,0.066,935614
District of Columbia,2014-01-01,2020,0.035,NA
Florida,NA,2020,0.132,19893297
Georgia,NA,2020,0.134,10097343
Hawaii,2014-01-01,2020,0.042,1419561
Idaho,2020-01-01,2020,0.108,1634464
Illinois,2014-01-01,2020,0.074,12880580
Indiana,2015-02-01,2020,0.087,6596855
Iowa,2014-01-01,2020,0.05,3107126
Kansas,NA,2020,0.092,2904021
Kentucky,2014-01-01,2020,0.064,4413457
Louisiana,2016-07-01,2020,0.089,4649676
Maine,NA,2020,0.08,1330089
Maryland,2014-01-01,2020,0.06,5976407
Massachusetts,2014-01-01,2020,0.03,6745408
Michigan,2014-04-01,2020,0.058,9909877
Minnesota,2014-01-01,2020,0.049,5457173
Mississippi,NA,2020,0.13,2984926
Missouri,NA,2020,0.1,6063589
Montana,2016-01-01,2020,0.083,1023579
Nebraska,2020-10-01,2020,0.083,1881503
Nevada,2014-01-01,2020,0.114,2839099
New Hampshire,2014-08-15,2020,0.063,1326813
New Jersey,2014-01-01,2020,0.079,8938175
New Mexico,2014-01-01,2020,0.1,2085572
New York,2014-01-01,2020,0.052,19746227
North Carolina,NA,2020,0.113,9943964
North Dakota,2014-01-01,2020,0.069,739482
Ohio,2014-01-01,2020,0.066,11594163
Oklahoma,NA,2020,0.143,3878051
Oregon,2014-01-01,2020,0.072,3970239
Pennsylvania,2015-01-01,2020,0.058,12787209
Rhode Island,2014-01-01,2020,0.041,1055173
South Carolina,NA,2020,0.108,4832482
South Dakota,NA,2020,0.102,853175
Tennessee,NA,2020,0.101,6549352
Texas,NA,2020,0.184,26956958
Utah,2020-01-01,2020,0.097,2942902
Vermont,2014-01-01,2020,0.045,626011
Virginia,2019-01-01,2020,0.079,8326289
Washington,2014-01-01,2020,0.066,7061530
West Virginia,2014-01-01,2020,0.067,1850326
Wisconsin,NA,2020,0.057,5757564
Wyoming,NA,2020,0.123,584153
